level,taxa,n_species,n_host_record
genus,Afrida_auctorum,1,0
genus,Afrikanetz,3,0
genus,Afroarabiella,9,0
genus,Afroarctia,7,0
genus,Afrobirthama,2,1
genus,Afrocelestis,4,0
genus,Afroclanis,2,0
genus,Afrocostosa,1,0
genus,Afromiresa,1,0
genus,Afromyelois,1,0
genus,Afromylea,1,0
genus,Afronarosa,1,1
genus,Afrophyla,2,0
genus,Afroplax,1,0
genus,Afroploce,3,0
genus,Afropsipyla,2,0
genus,Afrosataspes,1,0
genus,Afroscardia,1,0
genus,Afrosphinx,1,0
genus,Afrotheora,7,0
genus,Afrothreutes,1,0
genus,Agalmoscelis,1,0
genus,Agalope,22,1
genus,Agaltara,1,0
genus,Agamana,14,0
genus,Aganoptila,3,1
genus,Agapeta,7,2
genus,Agaraeus,4,0
genus,Agarista,113,1
genus,Agaristodes,1,0
genus,Agassizia,1,0
genus,Agassiziella,7,1
genus,Agastophanes,1,0
genus,Agastya,1,0
genus,Agathactis,1,0
genus,Agathia,98,5
genus,Agathiopsis,9,0
genus,Agathiphaga,2,2
genus,Agathodes,17,11
genus,Agathymus,33,8
genus,Agavenema,2,2
genus,Agdistis,88,11
genus,Agdistopis,3,1
genus,Age,2,0
genus,Ageletha,3,0
genus,Agisa,4,0
genus,Agiton,1,0
genus,Agkonia,3,0
genus,Aglais,34,2
genus,Aglaonice,2,0
genus,Aglaope,3,2
genus,Aglaops,3,0
genus,Aglaopus,34,2
genus,Aglaosoma,4,0
genus,Aglia,6,1
genus,Aglossa,44,5
genus,Aglossodes,1,0
genus,Aglossophanes,2,0
genus,Aglossosia,13,0
genus,Aglossostola,1,0
genus,Agnathosia,3,0
genus,Agnibesa,7,0
genus,Agnidra,18,1
genus,Agnippe,4,2
genus,Agnosia,2,2
genus,Agoma,2,1
genus,Agonis,1,0
genus,Agonismus,3,0
genus,Agonochaetia,5,0
genus,Agonopterix,229,0
genus,Agonoxena,4,0
genus,Agoraea,20,0
genus,Agorarcha,1,1
genus,Agoraula,1,0
genus,Agoschema,1,0
genus,Agrammia,2,0
genus,Agriades,40,1
genus,Agrioceros,6,0
genus,Agriocoma,90,0
genus,Agrioglypta,14,4
genus,Agrionympha,3,0
genus,Agriophanes,1,0
genus,Agriopis,11,4
genus,Agriopodes,5,2
genus,Agriothera,6,0
genus,Agriphila,50,5
genus,Agriphiloides,1,0
genus,Agrisius,4,0
genus,Agrius,6,3
genus,Agrodiaetus,146,14
genus,Agrotera,25,3
genus,Agrotisia,3,0
genus,Aguna,15,3
genus,Agunaix,1,0
genus,Agylla,124,0
genus,Agylloides,2,0
genus,Agyra,1,0
genus,Agyrta,21,0
genus,Agyrtidia,2,0
genus,Agyrtiola,1,0
genus,Ahmosia,2,1
genus,Aholcocerus,4,0
genus,Ahyalosticta,1,0
genus,Aictis,1,0
genus,Aides,9,3
genus,Airamia,1,0
genus,Aiteta,23,5
genus,Aiteta_auctorum,1,0
genus,Aiyura,2,0
genus,Akbesia,2,0
genus,Alaena,34,8
genus,Alampla,4,0
genus,Alandria,1,0
genus,Alapadna,2,0
genus,Alarodia,3,1
genus,Alatuncusia,2,1
genus,Alatuncusiodes,1,0
genus,Albadea,1,0
genus,Albara,6,1
genus,Albarracina,3,0
genus,Albinospila,6,1
genus,Albulina,17,1
genus,Alcides,5,1
genus,Alcina,1,0
genus,Alcis,172,6
genus,Alcterogystia,2,0
genus,Aleimma,1,1
genus,Alelimma,8,0
genus,Alelimminola,1,0
genus,Alenia,2,1
genus,Alepista,1,0
genus,Aleptina,6,0
genus,Aleptina_auctorum,1,0
genus,Aleptinoides,1,0
genus,Alera,4,0
genus,Alesa,7,0
genus,Alesua,1,0
genus,Aleteria,2,0
genus,Aletis,6,1
genus,Aletopus,1,0
genus,Aleucis,1,1
genus,Aleuron,6,0
genus,Alex,8,0
genus,Alexicles,1,0
genus,Alexiloga,1,0
genus,Aleyda,1,0
genus,Algedonia,8,1
genus,Alheita,10,0
genus,Alika,1,0
genus,Alikangiana,1,0
genus,Alina,1,0
genus,Alinguata,1,0
genus,Alinza,3,0
genus,Alispoides,3,0
genus,Allanwatsonia,2,0
genus,Allaxitheca,1,0
genus,Alloasteropetes,1,0
genus,Allobremeria,2,0
genus,Allocaprima,1,0
genus,Allochlorodes,1,0
genus,Allochrista,1,0
genus,Allochrostes,4,0
genus,Alloclemensia,3,0
genus,Alloclita,8,1
genus,Allocotesia,1,0
genus,Allocryptobia,2,1
genus,Allocyclosia,1,0
genus,Allodapella,1,0
genus,Allodemis,6,0
genus,Alloeopage,4,0
genus,Alloharpina,5,0
genus,Alloperissa,1,0
genus,Allophlebia,1,0
genus,Alloprocris,5,0
genus,Allora,9,0
genus,Allosmaitia,3,2
genus,Allostylus,1,0
genus,Allotalanta,11,1
genus,Allotelphusa,1,0
genus,Allothosea,3,1
genus,Allotinus,105,5
genus,Allotoma,1,0
genus,Allotria,1,1
genus,Allotropha,1,0
genus,Almabiston,1,0
genus,Almeidaia,2,0
genus,Almeidella,3,0
genus,Almeria,1,0
genus,Almita,2,0
genus,Almodes,5,0
genus,Almonia,3,0
genus,Aloa,32,0
genus,Aloba,1,0
genus,Aloeides,57,8
genus,Alogonia,1,0
genus,Alophia,2,1
genus,Alophogaster,4,1
genus,Alophonotus,1,0
genus,Alophosoma,3,0
genus,Alpenus,17,0
genus,Alphacrambus,5,0
genus,Alpheias,8,1
genus,Alpheioides,1,0
genus,Alsodryas,3,0
genus,Alsophila,11,3
genus,Alsophiloides,2,0
genus,Altenia,1,0
genus,Alteramenelikia,1,0
genus,Altha,14,4
genus,Althonarosa,3,0
genus,Altijuba,1,0
genus,Altrivalvina,1,0
genus,Alucita,146,11
genus,Alunus,1,0
genus,Alypia,15,5
genus,Alypiodes,3,0
genus,Alypophanes,3,0
genus,Alytopistis,1,0
genus,Amabela,4,0
genus,Amallectis,1,0
genus,Amalodeta,2,0
genus,Amalthocera,2,0
genus,Amana,2,0
genus,Amarynthis,3,0
genus,Amastus,123,0
genus,Amata,378,11
genus,Amathusia,43,2
genus,Amathuxidia,14,0
genus,Amathyntis,5,0
genus,Amauridia,9,0
genus,Amauris,118,8
genus,Amaxia,43,0
genus,Ambahona,1,0
genus,Ambaliha,1,0
genus,Ambesa,4,1
genus,Ambetilia,1,0
genus,Ambia,89,1
genus,Ambloma,2,0
genus,Amblopala,4,1
genus,Ambluncus,1,0
genus,Amblychia,23,0
genus,Amblypalpis,2,2
genus,Amblypodia,135,2
genus,Amblyprora,3,2
genus,Amblyptilia,8,3
genus,Amblyscirtes,1,0
genus,Amblyscopa,1,0
genus,Amblytenes,1,0
genus,Amblyxena,2,0
genus,Ambonostola,1,1
genus,Amboyna,2,0
genus,Ambulyx,67,6
genus,Amechedia,1,0
genus,Amefrontia,1,0
genus,Amegarthria,1,0
genus,Ameleta,1,0
genus,Amelora,35,0
genus,Amenis,3,0
genus,Amerila,60,0
genus,Amesia,9,0
genus,Ametrea,1,0
genus,Ametris,2,1
genus,Ametropalpis,1,0
genus,Ametroptila,1,0
genus,Amiana,1,0
genus,Ammalo,8,0
genus,Ammatucha,4,0
genus,Amnesicoma,8,0
genus,Amoebotricha,2,0
genus,Amolita,11,2
genus,Amontes,1,0
genus,Amorbia,26,5
genus,Amorophaga,4,1
genus,Amorpha,2,1
genus,Amorphogynia,3,1
genus,Amorphozancle,1,0
genus,Ampelasia,2,0
genus,Ampelophaga,7,1
genus,Amphekes,1,0
genus,Amphelarctia,1,0
genus,Amphia,4,0
genus,Amphicallia,4,0
genus,Amphiclada,1,0
genus,Amphiclasta,1,0
genus,Amphicoecia,2,0
genus,Amphicrossa,2,0
genus,Amphiderita,1,0
genus,Amphigenes,1,0
genus,Amphignostis,1,0
genus,Amphigonia,2,0
genus,Amphilita,2,0
genus,Amphimoea,1,0
genus,Amphion,1,1
genus,Amphiongia,2,0
genus,Amphiphalera,1,0
genus,Amphipoea,26,8
genus,Amphipoea_auctorum,2,0
genus,Amphipyra,55,14
genus,Amphiselenis,1,0
genus,Amphithera,13,1
genus,Amphithrix,1,1
genus,Amphitorna,10,0
genus,Amphitrias,1,0
genus,Amphitrogia,1,0
genus,Amphixystis,29,1
genus,Amphonyx,5,0
genus,Amphoraceras,1,0
genus,Ampittia,12,1
genus,Amplicincia,5,0
genus,Amplypterus,6,1
genus,Amraica,10,0
genus,Amsactarctia,3,0
genus,Amsactoides,1,0
genus,Amselia,2,0
genus,Amurilla,7,0
genus,Amusaron,2,0
genus,Amydria,18,0
genus,Amyelois,1,1
genus,Amygdaloptera,1,0
genus,Anabasis,1,1
genus,Anaboarmia,2,0
genus,Anacampsis,81,25
genus,Anaccra,2,0
genus,Anachastis,1,0
genus,Anachloris,2,0
genus,Anachrostis,12,0
genus,Anaclastis,1,0
genus,Anacleora,3,0
genus,Anacostia,1,0
genus,Anacraga,15,0
genus,Anacronicta,11,0
genus,Anacrusis,11,0
genus,Anactenia,1,0
genus,Anadasmus,4,0
genus,Anadelosemia,7,0
genus,Anadiasa,10,1
genus,Anaea,193,5
genus,Anaeglis,2,0
genus,Anaemosia,1,0
genus,Anaene,4,0
genus,Anageshna,3,0
genus,Analcina,1,0
genus,Analyta,12,1
genus,Analytarcha,4,0
genus,Anamalaia,1,0
genus,Anambulyx,1,0
genus,Anamecia,4,0
genus,Anameristes,2,0
genus,Anania,8,2
genus,Anapatris,1,0
genus,Anaphantis,5,0
genus,Anaphe,9,0
genus,Anaphela,2,0
genus,Anaphlebia,1,0
genus,Anaphleps,1,0
genus,Anaphosia,9,0
genus,Anapisa,7,0
genus,Anaptilora,7,0
genus,Anarbudas,2,0
genus,Anarmodia,25,0
genus,Anarnatula,2,0
genus,Anarpia,4,0
genus,Anartia,20,4
genus,Anasphaltis,1,0
genus,Anassodes,1,0
genus,Anastathma,1,1
genus,Anastomophleps,1,0
genus,Anastomopteryx,1,0
genus,Anastreblotis,1,0
genus,Anastrus,14,2
genus,Anatatha,5,0
genus,Anateinoma,1,0
genus,Anathamna,7,1
genus,Anathetis,3,0
genus,Anathyrsotis,1,0
genus,Anatralata,1,0
genus,Anaulosia,1,0
genus,Anavinemina,16,0
genus,Anavitrinella,5,1
genus,Anaxidia,2,1
genus,Anaxita,10,0
genus,Ancara,8,0
genus,Ancema,29,2
genus,Anchicremna,1,0
genus,Anchiphyllia,1,0
genus,Anchirithra,3,0
genus,Anchylobela,6,0
genus,Ancipita,1,0
genus,Ancistris,1,0
genus,Ancistroides,11,2
genus,Ancistrota,1,0
genus,Ancova,3,1
genus,Ancylis,137,48
genus,Ancylodes,6,0
genus,Ancylodinia,1,0
genus,Ancylolomia,69,6
genus,Ancyloptila,1,0
genus,Ancylosis,139,5
genus,Ancylosoma,1,1
genus,Ancylostomia,4,1
genus,Ancyloxypha,8,1
genus,Ancyluris,40,0
genus,Ancyroclepsis,2,0
genus,Ancystrocheira,1,0
genus,Andaingo,3,0
genus,Andeabatis,1,0
genus,Anderida,1,0
genus,Andinus,2,0
genus,Andobana,2,0
genus,Andraca,9,2
genus,Andrhippuris,1,0
genus,Andrianam,1,0
genus,Andriasa,4,1
genus,Andrioplecta,10,6
genus,Androcharta,6,0
genus,Androchela,3,0
genus,Androlymnia,4,0
genus,Andronymus,12,3
genus,Andropolia,7,4
genus,Androzeugma,3,0
genus,Anectropis,4,0
genus,Anedhella,5,0
genus,Anegcephalesis,1,0
genus,Aneliopis,4,0
genus,Anemallota,5,0
genus,Anemmalocera,1,0
genus,Anemmetresa,1,0
genus,Anemosa,2,0
genus,Anemosella,2,0
genus,Anemplocia,7,0
genus,Anepholcia,2,0
genus,Anephopteryx,1,0
genus,Anepopsia,2,0
genus,Anerastia,23,1
genus,Anereuthina,1,1
genus,Anereuthinula,1,0
genus,Anerosoma,1,0
genus,Anestia,1,1
genus,Anetia,7,2
genus,Aneureta,1,0
genus,Aneuxanthis,1,0
genus,Anexophana,1,0
genus,Anexotamos,1,0
genus,Angelus,1,0
genus,Angerona,13,2
genus,Angitia,30,0
genus,Angonyx,7,0
genus,Angustalius,2,0
genus,Angustialata,1,0
genus,Aniana,1,0
genus,Anielia,1,0
genus,Anigraea,18,4
genus,Anigraeopsis,1,0
genus,Anilina,5,1
genus,Animomyia,11,0
genus,Anischnopteris,1,0
genus,Anisephyra_auctorum,1,0
genus,Anisochoria,14,0
genus,Anisogona,6,3
genus,Anisomelia,1,0
genus,Anisoneura,5,1
genus,Anisoperas,15,0
genus,Anisoplaca,7,2
genus,Anisota,14,10
genus,Anisotenes,21,0
genus,Anisothrix,3,0
genus,Anisozeuxis,1,0
genus,Anisynta,5,0
genus,Anjumania,1,0
genus,Ankasocris,1,0
genus,Ankijabe,2,0
genus,Ankola,1,0
genus,Annaphila,26,15
genus,Anoba,49,4
genus,Anoba_auctorum,1,0
genus,Anobostra,6,0
genus,Anoditica,2,0
genus,Anoecea,1,0
genus,Anoecophysis,1,0
genus,Anoectomychus,3,0
genus,Anoista,1,0
genus,Anomalotinea,13,0
genus,Anomis,107,44
genus,Anomis_auctorum,3,0
genus,Anomocala,1,0
genus,Anomocentris,4,0
genus,Anomocrambus,1,0
genus,Anomogenes,1,1
genus,Anomologa,2,0
genus,Anomoxena,1,0
genus,Anomozela,1,0
genus,Anomphax,2,0
genus,Anonaepestis,2,2
genus,Anoncia,26,3
genus,Anonychia,13,0
genus,Anophiodes,4,0
genus,Anopina,67,2
genus,Anopinella,38,0
genus,Anoplosceles,1,0
genus,Anoratha,6,0
genus,Anorcota,1,0
genus,Anorena,2,0
genus,Anoristia,7,0
genus,Anorthodes_auctorum,2,0
genus,Anorthodisca,2,0
genus,Anosiodes,1,0
genus,Anotodonta,1,0
genus,Ansorgia,1,0
genus,Anstenoptilia,1,1
genus,Antachara,8,0
genus,Antaeola,1,0
genus,Antaeotricha,251,0
genus,Antanartia,17,6
genus,Antapamea,3,0
genus,Antapistis,8,0
genus,Antarchia,1,0
genus,Antasia,1,0
genus,Anteos,2,2
genus,Antepione,8,1
genus,Antequera,2,0
genus,Anterastria,1,2
genus,Anteros,25,0
genus,Antha,4,0
genus,Anthalma,1,0
genus,Antharmostes,12,0
genus,Anthela,64,11
genus,Anthemoctena,1,0
genus,Anthene,152,30
genus,Antheraea,108,11
genus,Antherina,2,1
genus,Anthinora,1,0
genus,Anthistarcha,2,1
genus,Anthocharis,42,4
genus,Anthodes,8,0
genus,Anthometra,1,0
genus,Anthonympha,3,0
genus,Anthophila,106,2
genus,Anthophrys,1,0
genus,Anthopteryx,1,0
genus,Anthoptus,5,0
genus,Anthozela,2,1
genus,Anthyperythra,4,0
genus,Antiblemma,133,0
genus,Anticarsia,11,2
genus,Antichlidas,1,0
genus,Antichloris,25,0
genus,Anticla,6,0
genus,Anticlea,19,4
genus,Anticleapa,1,0
genus,Anticleora,2,0
genus,Anticollix,1,1
genus,Anticrates,33,1
genus,Antictenia,2,0
genus,Anticypella,2,0
genus,Antigambra,1,0
genus,Antigastra,2,1
genus,Antigius,7,2
genus,Antigodasa,1,0
genus,Antigonis,2,0
genus,Antigonus,9,1
genus,Antigraptis,1,0
genus,Antihepialus,5,0
genus,Antilurga,2,0
genus,Antilycauges,1,0
genus,Antimimistis,5,0
genus,Antinephele,8,0
genus,Antiophlebia,3,1
genus,Antiotricha,6,0
genus,Antipercnia,6,0
genus,Antiphalera,6,0
genus,Antiphoides,2,0
genus,Antiphrastis,1,0
genus,Antiplecta,5,0
genus,Antipodia,3,0
genus,Antipolistes,1,0
genus,Antiptilotis,1,0
genus,Antiracotis,3,0
genus,Antirrhopa,3,0
genus,Antisclerota,1,0
genus,Antiscopa,3,0
genus,Antisindris,1,0
genus,Antispastis,2,0
genus,Antispilina,1,0
genus,Antistathmoptera,3,1
genus,Antithyra,1,1
genus,Antitinea,1,0
genus,Antitrisuloides,1,0
genus,Antitrygodes,19,2
genus,Antona,26,0
genus,Antozola,1,0
genus,Anuga,13,3
genus,Anumeta,29,0
genus,Anurapteryx,8,0
genus,Anycles,6,0
genus,Anycteola,1,0
genus,Anydraula,2,0
genus,Anydrelia,3,0
genus,Anydrophila,12,0
genus,Anypoptus,1,0
genus,Anypsipyla,1,1
genus,Aoa,1,0
genus,Aon,1,0
genus,Aoraia,12,0
genus,Aorista,1,0
genus,Apaegocera,2,0
genus,Apaidia,3,0
genus,Apantesis,5,0
genus,Apatadelpha,1,0
genus,Apatelopteryx,3,0
genus,Apateta,1,0
genus,Apatetris,12,5
genus,Apatura,193,4
genus,Apaturina,12,0
genus,Apaturopsis,4,0
genus,Apaustis,1,0
genus,Apaustus,4,1
genus,Apeira,10,1
genus,Apeleptera,1,0
genus,Apericallia,1,0
genus,Aperusia,2,0
genus,Apha,10,0
genus,Aphalonia,2,0
genus,Aphanophleps,4,0
genus,Aphanosara,1,0
genus,Aphanostola,3,0
genus,Aphantes,1,0
genus,Aphantocephala,8,0
genus,Apharitis,7,0
genus,Aphelia,36,7
genus,Apheloceros,1,0
genus,Aphilopota,50,1
genus,Aphimallota,2,0
genus,Aphnaeus,106,4
genus,Aphniolaus,1,0
genus,Aphomia,31,4
genus,Aphomoeoma,1,0
genus,Aphorisma,1,0
genus,Aphrophantis,1,0
genus,Aphrozestis,1,0
genus,Aphthonetus,33,3
genus,Aphthonocosma,1,0
genus,Aphyarctia,1,0
genus,Aphycita,1,0
genus,Aphyle,4,0
genus,Aphyletes,2,0
genus,Aphyodes,1,0
genus,Aphypena,2,0
genus,Aphytoceros,2,0
genus,Apiciopsis,10,0
genus,Apiconoma,1,0
genus,Apilocrocis,11,0
genus,Apina,1,1
genus,Apinoglossa,1,0
genus,Apisa,24,0
genus,Apistosia,5,0
genus,Apithecia,3,0
genus,Apladrapsa,1,0
genus,Aplasta,2,1
genus,Aplastoceros,6,0
genus,Aplatissa,2,0
genus,Aplectropus,1,0
genus,Apleria,2,0
genus,Aplocera,38,3
genus,Aplochlora,10,1
genus,Aplogompha,14,0
genus,Aploschema,1,0
genus,Aplotelia,3,1
genus,Apluda,3,0
genus,Apoblepta,1,0
genus,Apocalymnia,1,1
genus,Apocalypsis,1,0
genus,Apocerea,1,0
genus,Apocheima,6,2
genus,Apochima,7,1
genus,Apocleora,1,0
genus,Apocolotois,3,0
genus,Apocrisias,1,0
genus,Apocritica,1,0
genus,Apoctena,12,0
genus,Apoda,9,3
genus,Apodasmia,1,0
genus,Apodecta,1,0
genus,Apodemia,23,5
genus,Apodentinodia,1,0
genus,Apodia,2,1
genus,Apodrepanulatrix,2,1
genus,Apodroma,2,0
genus,Apogeshna,1,0
genus,Apoheterolocha,6,0
genus,Apolobesia,1,0
genus,Apolychrosis,5,5
genus,Apomyelois,11,1
genus,Apona,11,0
genus,Aponia,5,0
genus,Aponoea,2,2
genus,Aponotoreas,10,0
genus,Apopestes,8,1
genus,Apophatus,2,0
genus,Apophyga,4,0
genus,Apoplania,2,0
genus,Apoprogones,1,0
genus,Aporandria,2,1
genus,Aporhoptrina,1,0
genus,Aporia,77,4
genus,Aporocosmus,1,0
genus,Aporoctena,2,0
genus,Apostates,1,0
genus,Apostegania,3,0
genus,Aposteira,1,0
genus,Apostictopterus,2,0
genus,Apotactis,2,0
genus,Apotheta,1,0
genus,Apothetodes,1,0
genus,Apothetoeca,1,0
genus,Apothosia,1,0
genus,Apothriguna,1,0
genus,Apothripa,3,0
genus,Apotistatus,1,1
genus,Apotoforma,13,1
